"order_id","user_id","eval_set","order_number","order_dow","order_hour_of_day","days_since_prior_order"
40,382,"prior",29,1,15,23
214,503,"prior",5,0,16,9
178,971,"prior",2,3,11,19
280,1059,"prior",27,1,10,6
637,1177,"prior",23,5,17,10
889,1264,"prior",25,1,7,4
835,1440,"prior",3,2,14,6
377,1868,"prior",65,1,13,2
708,1873,"prior",4,0,17,30
504,2201,"prior",10,3,17,22
877,2609,"prior",22,5,15,3
814,2777,"prior",17,0,19,21
975,2822,"prior",2,1,15,27
8,3107,"prior",5,4,6,17
74,3321,"prior",31,5,21,14
629,3351,"prior",3,3,0,30
783,3671,"prior",8,6,15,27
832,3683,"prior",20,0,10,7
85,4041,"prior",25,5,11,7
255,4076,"prior",30,0,20,3
176,4209,"prior",7,1,17,16
936,4484,"prior",8,1,6,30
104,4645,"prior",8,5,18,3
470,4793,"prior",14,5,15,30
102,4988,"prior",8,3,16,30
666,5152,"prior",2,5,12,13
91,5189,"prior",54,0,14,3
599,5217,"prior",4,1,12,5
64,5430,"prior",8,0,16,6
558,5721,"prior",7,1,11,6
67,5738,"prior",4,3,12,6
755,5860,"prior",53,3,12,1
884,5910,"prior",16,3,10,9
289,5927,"prior",14,0,8,7
949,6141,"prior",1,3,21,NA
754,6409,"prior",33,6,11,28
379,6801,"prior",59,5,23,7
740,6832,"prior",6,4,22,30
334,7114,"prior",13,0,8,20
735,7358,"prior",29,6,19,2
128,7440,"prior",92,1,14,3
496,7580,"prior",3,5,12,4
846,7864,"prior",5,4,16,30
777,7870,"prior",2,6,13,8
564,8422,"prior",34,6,17,15
282,8456,"prior",11,0,12,14
803,8535,"prior",17,5,8,7
142,8841,"prior",43,4,22,9
720,8910,"prior",4,6,13,7
506,8941,"prior",24,3,8,30
325,9579,"prior",2,3,13,30
745,10031,"prior",50,5,12,5
175,10358,"prior",42,4,18,2
663,10441,"prior",20,5,20,1
299,10546,"prior",12,2,10,6
799,10600,"prior",21,5,18,8
626,10747,"prior",78,3,13,2
907,10799,"prior",3,4,11,28
46,10951,"prior",3,0,18,18
389,11216,"prior",8,4,9,5
454,11335,"prior",23,1,17,14
791,11419,"prior",4,3,13,26
61,12295,"prior",2,1,9,7
686,12445,"prior",11,2,4,13
254,12711,"prior",43,6,16,5
542,12899,"prior",30,1,15,3
157,13055,"prior",37,6,17,3
587,13112,"prior",39,2,12,8
766,13554,"prior",27,1,10,6
477,13665,"prior",3,4,12,30
195,14264,"prior",38,0,16,15
786,14386,"prior",19,0,13,14
333,15068,"prior",36,4,10,3
796,15161,"prior",83,5,14,2
134,15608,"prior",7,1,8,30
853,15634,"prior",14,5,19,3
920,15956,"prior",8,1,8,6
403,16181,"prior",10,5,12,14
159,16286,"prior",38,4,13,3
130,16288,"prior",1,0,15,NA
570,16482,"prior",12,3,14,7
103,16694,"prior",4,2,9,8
643,17076,"prior",1,0,8,NA
347,17155,"prior",94,1,16,7
167,17547,"prior",7,0,12,30
696,17551,"prior",16,2,17,3
320,17669,"prior",1,1,15,NA
526,17900,"prior",9,0,23,10
14,18194,"prior",49,3,15,3
514,18201,"prior",15,4,10,6
747,18237,"prior",10,1,8,8
184,18409,"prior",6,0,19,30
459,18550,"prior",10,1,8,29
101,18783,"prior",33,3,15,6
552,18926,"prior",22,4,13,12
427,19785,"prior",4,1,13,9
518,20663,"prior",44,0,20,7
198,21336,"prior",10,1,9,30
146,21343,"prior",43,5,16,7
200,21425,"prior",2,5,22,21
728,21456,"prior",2,1,11,12
84,21551,"prior",36,2,16,5
260,21630,"prior",7,5,10,11
764,21807,"prior",5,6,12,7
723,21823,"prior",16,3,19,4
446,22274,"prior",93,5,13,0
559,22322,"prior",20,1,4,16
753,22350,"prior",1,3,9,NA
6,22352,"prior",4,1,12,30
169,22517,"prior",3,0,9,14
707,22757,"prior",4,5,17,11
472,22824,"prior",26,2,20,1
864,22835,"prior",52,4,15,8
577,22836,"prior",18,3,18,3
964,22986,"prior",58,0,11,5
699,23011,"prior",4,2,20,3
489,23535,"prior",5,2,12,30
120,23750,"prior",11,6,8,10
900,24019,"prior",30,1,17,2
977,24034,"prior",10,6,17,19
153,24173,"prior",4,4,17,4
967,24508,"prior",9,0,16,26
158,24721,"prior",8,1,15,30
311,25023,"prior",17,2,11,30
267,25414,"prior",53,0,9,7
980,25503,"prior",21,1,17,4
354,25862,"prior",19,5,10,8
609,25883,"prior",4,2,15,1
119,25967,"prior",5,4,11,4
275,26030,"prior",51,1,10,2
351,26183,"prior",18,5,14,1
756,26355,"prior",12,6,13,2
500,26454,"prior",8,0,8,22
963,26481,"prior",9,0,19,30
65,26599,"prior",9,2,10,11
360,26871,"prior",2,2,16,30
187,26978,"prior",43,5,16,9
371,27212,"prior",7,2,13,10
52,27498,"prior",18,3,10,1
453,27896,"prior",16,0,12,7
355,28266,"prior",13,1,13,27
665,28332,"prior",7,6,23,14
890,28394,"prior",6,4,17,30
813,28585,"prior",8,4,8,30
899,28945,"prior",12,3,10,10
297,29096,"prior",1,0,11,NA
916,29494,"prior",28,0,8,6
292,29552,"prior",15,3,16,7
233,29724,"prior",20,4,17,8
641,29916,"prior",7,2,9,7
849,30009,"prior",4,2,13,3
672,30564,"prior",37,6,22,0
248,30576,"prior",8,5,10,9
172,30618,"prior",17,4,8,8
543,30816,"prior",1,0,12,NA
22,30822,"prior",25,1,8,12
973,30997,"prior",7,1,7,11
586,31030,"prior",16,2,11,11
479,31038,"prior",9,2,9,16
591,31111,"prior",14,5,17,8
732,31513,"prior",6,5,20,19
718,31957,"prior",10,1,20,8
595,32240,"prior",68,4,6,3
931,32252,"prior",31,1,21,6
385,32268,"prior",21,6,16,5
691,32597,"prior",23,1,10,14
490,32953,"prior",40,1,15,6
213,33094,"prior",16,3,18,9
326,33704,"prior",12,3,9,7
614,33769,"prior",4,5,18,20
428,33799,"prior",16,4,10,2
57,34016,"prior",1,6,8,NA
529,34037,"prior",6,4,10,30
554,34076,"prior",4,2,22,30
865,34108,"prior",8,6,13,7
600,34215,"prior",8,2,13,4
339,34416,"prior",57,2,16,5
640,34791,"prior",4,6,0,30
250,34840,"prior",13,1,7,17
131,34858,"prior",42,3,10,2
416,34870,"prior",13,4,13,3
522,35250,"prior",6,1,15,12
861,35487,"prior",23,3,12,7
545,35519,"prior",7,0,9,1
616,35556,"prior",4,6,17,30
298,35569,"prior",6,5,17,5
322,36278,"prior",2,1,9,7
550,36504,"prior",29,5,16,10
237,36603,"prior",1,2,17,NA
615,36811,"prior",27,6,8,11
682,36916,"prior",18,6,6,2
851,37473,"prior",47,2,11,4
822,37613,"prior",65,2,16,4
392,37700,"prior",5,3,8,7
969,37701,"prior",19,0,8,0
769,37708,"prior",6,4,10,19
667,37763,"prior",2,3,16,2
623,37804,"prior",63,3,12,3
45,37913,"prior",55,1,14,0
605,37949,"prior",20,1,12,0
580,38171,"prior",46,3,13,5
650,38617,"prior",52,6,12,4
576,38664,"prior",5,1,16,6
668,38722,"prior",10,1,15,9
705,38886,"prior",2,5,11,7
867,39021,"prior",51,3,13,1
951,39039,"prior",6,0,7,8
438,39176,"prior",19,4,15,3
166,39287,"prior",9,0,7,4
527,39332,"prior",6,2,21,10
625,39460,"prior",85,1,10,7
43,39630,"prior",14,5,17,4
209,40286,"prior",4,0,17,21
94,40375,"prior",5,3,16,8
461,40496,"prior",8,0,15,12
555,40590,"prior",70,2,7,4
83,41155,"prior",7,6,20,20
409,41502,"prior",7,1,18,17
148,41523,"prior",27,2,17,5
56,41591,"prior",8,0,12,2
618,41594,"prior",17,1,19,18
812,41934,"prior",1,0,16,NA
573,42147,"prior",16,1,14,9
348,42181,"prior",11,2,16,8
909,42474,"prior",5,4,15,30
606,42671,"prior",30,2,20,4
597,43517,"prior",12,1,19,2
127,43629,"prior",8,6,11,3
210,43756,"prior",26,2,22,14
90,43798,"prior",14,2,16,13
842,44062,"prior",10,6,11,7
269,44103,"prior",77,0,11,1
337,44598,"prior",27,1,10,19
253,44802,"prior",7,2,15,7
892,44995,"prior",5,5,6,30
13,45082,"prior",2,6,17,1
687,45258,"prior",23,6,13,5
408,45631,"prior",17,1,18,14
565,45892,"prior",47,5,10,4
913,45933,"prior",28,2,9,6
693,46277,"prior",4,5,9,7
276,46527,"prior",34,6,11,6
788,47066,"prior",19,2,13,9
229,47358,"prior",7,0,22,8
194,48052,"prior",30,0,13,1
177,48308,"prior",27,2,16,8
415,48412,"prior",1,4,18,NA
367,48730,"prior",3,4,19,19
746,48900,"prior",9,0,12,18
729,48968,"prior",7,1,13,6
370,49030,"prior",34,6,10,10
145,49610,"prior",1,4,12,NA
516,49838,"prior",8,3,15,10
817,50237,"prior",61,4,15,3
508,51003,"prior",6,5,11,10
239,51178,"prior",39,4,9,9
149,51424,"prior",8,5,13,1
998,51603,"prior",10,0,17,15
406,51849,"prior",5,5,9,19
630,51955,"prior",1,0,16,NA
259,52205,"prior",7,1,12,10
37,52564,"prior",1,4,17,NA
471,52745,"prior",5,6,18,30
381,52824,"prior",19,0,14,5
991,53272,"prior",19,5,16,26
613,53840,"prior",8,6,11,6
174,53965,"prior",25,5,9,4
469,54336,"prior",3,5,16,7
294,54538,"prior",33,0,12,7
633,54591,"prior",5,1,14,5
654,54729,"prior",52,5,13,7
302,54878,"prior",12,5,12,8
15,54901,"prior",51,3,11,2
917,55154,"prior",2,1,12,6
135,55179,"prior",13,2,12,6
736,55633,"prior",3,1,15,8
304,55713,"prior",58,1,13,2
918,55978,"prior",3,3,15,20
92,56022,"prior",13,6,9,6
439,56056,"prior",13,3,10,9
480,56158,"prior",4,4,18,4
232,56896,"prior",1,6,14,NA
841,56904,"prior",4,4,13,30
726,57362,"prior",25,2,17,7
285,57561,"prior",11,5,18,10
819,57911,"prior",3,5,23,18
593,57957,"prior",7,1,7,17
361,58087,"prior",1,2,0,NA
188,58122,"prior",18,6,11,2
235,58701,"prior",20,5,9,9
327,58707,"prior",21,6,9,8
780,58975,"prior",4,1,19,30
706,59106,"prior",47,3,18,2
767,59476,"prior",16,0,10,11
809,59478,"prior",30,2,14,7
25,59897,"prior",19,6,10,25
336,60174,"prior",14,2,13,21
596,60562,"prior",11,0,10,12
323,60766,"prior",13,4,10,7
790,60800,"prior",10,4,16,5
990,61052,"prior",7,4,11,30
481,61134,"prior",31,5,17,8
704,61148,"prior",31,0,9,7
802,61190,"prior",5,6,8,3
338,61454,"prior",38,3,13,5
344,61721,"prior",10,4,11,7
804,61834,"prior",7,5,17,5
511,61839,"prior",5,6,17,13
954,62287,"prior",22,6,15,13
243,62481,"prior",3,2,10,30
733,62760,"prior",3,5,21,13
100,62781,"prior",1,2,13,NA
721,62846,"prior",19,1,13,13
263,62875,"prior",8,1,17,25
636,63276,"prior",12,5,17,3
445,63288,"prior",1,6,0,NA
993,63498,"prior",22,0,9,13
220,63952,"prior",26,3,17,6
399,64024,"prior",6,2,19,10
274,64392,"prior",8,2,9,15
465,65540,"prior",1,1,16,NA
362,65561,"prior",20,4,11,2
997,65939,"prior",9,1,13,15
939,66039,"prior",3,1,18,7
291,66046,"prior",8,4,22,6
125,66104,"prior",21,6,12,5
126,66138,"prior",4,3,15,11
979,66509,"prior",17,6,13,6
301,66567,"prior",10,0,10,8
568,66971,"prior",8,2,9,20
60,66984,"prior",9,0,10,6
290,67140,"prior",14,0,17,8
140,67155,"prior",13,3,14,20
560,67315,"prior",1,6,17,NA
499,68120,"prior",7,6,16,4
208,68303,"prior",7,4,13,6
23,68572,"prior",21,1,18,8
757,68826,"prior",13,4,15,16
324,68950,"prior",7,4,12,12
722,69144,"prior",26,0,18,3
468,69420,"prior",5,1,15,25
124,69812,"prior",15,5,8,30
71,69984,"prior",20,1,13,11
744,70318,"prior",6,5,20,6
245,70322,"prior",1,4,9,NA
940,70381,"prior",10,5,10,3
945,70421,"prior",1,4,10,NA
937,70446,"prior",40,4,12,7
827,71113,"prior",1,3,8,NA
583,71244,"prior",20,4,15,11
750,71771,"prior",34,5,10,8
999,71917,"prior",23,6,14,6
709,72533,"prior",1,5,6,NA
688,72738,"prior",38,2,14,4
206,72973,"prior",50,0,9,3
671,73068,"prior",1,1,15,NA
110,73241,"prior",1,0,15,NA
382,73283,"prior",15,2,9,2
154,73310,"prior",68,6,19,0
173,73399,"prior",29,6,12,7
902,73822,"prior",3,4,17,6
848,73835,"prior",28,0,14,3
771,73968,"prior",16,0,17,7
955,74315,"prior",59,0,20,7
734,74680,"prior",33,1,9,4
825,74842,"prior",2,2,11,6
76,75136,"prior",5,1,19,30
117,75394,"prior",15,5,13,8
203,75564,"prior",11,4,14,8
903,76103,"prior",17,3,12,15
581,76141,"prior",3,6,17,7
433,76234,"prior",17,1,12,10
905,76674,"prior",19,5,14,8
