customerId,name,age,accountTenureDays,avgSessionMinutes,marketingOptIn
C0000,Customer 0,38,84,9.26,1
C0001,Customer 1,26,109,9.92,1
C0002,Customer 2,28,1302,8.21,0
C0003,Customer 3,65,1263,11.54,0
C0004,Customer 4,36,1233,1.31,1
C0005,Customer 5,35,84,13.29,0
C0006,Customer 6,70,117,2.66,0
C0007,Customer 7,26,421,7.19,1
C0008,Customer 8,70,848,20.92,1
C0009,Customer 9,70,501,4.93,1
C0010,Customer 10,52,731,6.73,0
C0011,Customer 11,27,260,2.68,0
C0012,Customer 12,26,1096,20.79,1
C0013,Customer 13,34,471,2.95,1
C0014,Customer 14,50,100,10.55,0
C0015,Customer 15,26,1114,15.43,0
C0016,Customer 16,43,1354,11.26,0
C0017,Customer 17,24,23,8.59,1
C0018,Customer 18,48,655,7.11,0
C0019,Customer 19,19,1240,2.0,1
C0020,Customer 20,58,1059,20.17,0
C0021,Customer 21,21,1284,8.07,1
C0022,Customer 22,29,623,6.73,0
C0023,Customer 23,27,559,2.46,1
C0024,Customer 24,65,1064,6.98,1
C0025,Customer 25,21,231,6.41,0
C0026,Customer 26,42,359,20.92,0
C0027,Customer 27,51,901,6.73,1
C0028,Customer 28,47,1003,6.9,1
C0029,Customer 29,56,180,2.49,1
C0030,Customer 30,63,762,3.51,1
C0031,Customer 31,40,548,9.67,1
C0032,Customer 32,65,753,1.04,1
C0033,Customer 33,36,1437,13.24,0
C0034,Customer 34,74,115,13.49,1
C0035,Customer 35,46,1493,3.19,0
C0036,Customer 36,59,674,8.61,0
C0037,Customer 37,67,1158,15.77,0
C0038,Customer 38,63,637,6.01,0
C0039,Customer 39,66,467,5.15,0
C0040,Customer 40,48,1156,5.68,1
C0041,Customer 41,20,1031,8.06,0
C0042,Customer 42,46,216,3.92,0
C0043,Customer 43,28,1058,4.8,0
C0044,Customer 44,68,1129,8.18,1
C0045,Customer 45,31,582,4.48,1
C0046,Customer 46,30,1388,2.29,1
C0047,Customer 47,32,961,0.93,0
C0048,Customer 48,54,501,6.83,1
C0049,Customer 49,50,17,15.11,1
C0050,Customer 50,72,1012,8.93,0
C0051,Customer 51,41,314,2.37,1
C0052,Customer 52,34,1135,3.49,0
C0053,Customer 53,20,788,5.12,1
C0054,Customer 54,18,700,21.37,1
C0055,Customer 55,39,246,22.14,0
C0056,Customer 56,70,1067,20.44,1
C0057,Customer 57,47,249,7.37,0
C0058,Customer 58,68,627,40.24,0
C0059,Customer 59,23,1254,3.64,1
C0060,Customer 60,23,1380,4.97,1
C0061,Customer 61,65,1483,12.55,1
C0062,Customer 62,24,1437,8.21,1
C0063,Customer 63,20,834,8.56,0
C0064,Customer 64,41,301,2.77,1
C0065,Customer 65,70,1258,6.37,1
C0066,Customer 66,57,1202,3.69,1
C0067,Customer 67,23,1485,1.86,1
C0068,Customer 68,65,976,4.08,1
C0069,Customer 69,66,213,8.21,1
C0070,Customer 70,63,754,11.15,0
C0071,Customer 71,69,672,0.89,0
C0072,Customer 72,31,1264,6.6,0
C0073,Customer 73,73,589,6.15,1
C0074,Customer 74,36,493,7.9,1
C0075,Customer 75,63,120,2.42,0
C0076,Customer 76,51,1253,2.46,1
C0077,Customer 77,62,1133,15.38,1
C0078,Customer 78,53,62,3.22,0
C0079,Customer 79,54,651,4.77,0
C0080,Customer 80,53,720,5.18,1
C0081,Customer 81,62,704,3.75,0
C0082,Customer 82,60,1378,9.46,1
C0083,Customer 83,25,226,8.89,1
C0084,Customer 84,65,460,5.93,1
C0085,Customer 85,48,272,3.94,0
C0086,Customer 86,36,366,5.57,1
C0087,Customer 87,47,1360,7.03,0
C0088,Customer 88,73,1411,3.49,0
C0089,Customer 89,66,67,9.97,0
C0090,Customer 90,65,948,13.18,0
C0091,Customer 91,44,350,17.17,0
C0092,Customer 92,62,289,16.48,1
C0093,Customer 93,39,438,5.16,0
C0094,Customer 94,57,292,7.3,1
C0095,Customer 95,54,735,5.84,0
C0096,Customer 96,32,1493,5.83,0
C0097,Customer 97,33,880,5.54,1
C0098,Customer 98,21,1085,6.7,1
C0099,Customer 99,25,740,14.68,1
C0100,Customer 100,42,21,8.4,1
C0101,Customer 101,45,127,2.31,0
