customerId,name,age,accountTenureDays,avgSessionMinutes,marketingOptIn
N0000,New Customer 0,64,2,1.2,1
N0001,New Customer 1,34,2,21.51,1
N0002,New Customer 2,47,1,10.22,1
N0003,New Customer 3,69,2,6.7,0
N0004,New Customer 4,34,0,10.5,0
N0005,New Customer 5,18,2,10.45,1
N0006,New Customer 6,22,1,11.61,0
N0007,New Customer 7,70,1,11.95,0
N0008,New Customer 8,52,1,6.53,0
N0009,New Customer 9,36,0,2.96,0
N0010,New Customer 10,22,2,3.87,1
N0011,New Customer 11,57,1,19.23,1
N0012,New Customer 12,20,2,14.73,0
N0013,New Customer 13,23,0,6.5,0
N0014,New Customer 14,51,0,11.22,0
N0015,New Customer 15,54,2,7.25,0
N0016,New Customer 16,50,2,4.4,0
N0017,New Customer 17,69,0,9.75,1
N0018,New Customer 18,33,0,7.88,1
N0019,New Customer 19,49,1,9.95,1
N0020,New Customer 20,35,0,18.82,0
N0021,New Customer 21,38,1,7.4,1
N0022,New Customer 22,26,0,3.45,0
N0023,New Customer 23,63,0,2.46,0
N0024,New Customer 24,58,0,3.85,1
N0025,New Customer 25,58,0,5.22,1
N0026,New Customer 26,26,0,2.29,1
N0027,New Customer 27,24,1,8.63,1
N0028,New Customer 28,62,0,9.91,1
N0029,New Customer 29,55,0,11.13,1
N0030,New Customer 30,19,0,5.12,0
N0031,New Customer 31,55,2,30.54,0
N0032,New Customer 32,73,0,7.91,0
N0033,New Customer 33,60,2,2.83,0
N0034,New Customer 34,33,0,4.02,0
N0035,New Customer 35,36,0,5.05,1
N0036,New Customer 36,60,1,12.56,0
N0037,New Customer 37,40,2,6.22,1
N0038,New Customer 38,59,0,8.46,1
N0039,New Customer 39,72,0,11.68,0
N0040,New Customer 40,41,2,5.72,0
N0041,New Customer 41,50,0,5.47,1
N0042,New Customer 42,45,0,5.14,0
N0043,New Customer 43,46,0,3.74,1
N0044,New Customer 44,22,2,1.96,1
N0045,New Customer 45,74,2,1.64,0
N0046,New Customer 46,48,2,6.8,0
N0047,New Customer 47,31,1,7.91,1
N0048,New Customer 48,50,0,12.02,1
N0049,New Customer 49,40,0,4.86,0
