customerId,productId,amount,rating,daysAgo
N0042,P0035,21.86,5,0
N0043,P0108,49.19,1,0
N0014,P0036,6.01,4,0
N0029,P0019,27.39,4,2
N0002,P0008,20.3,4,0
N0027,P0014,11.65,2,2
N0043,P0035,26.43,4,0
N0047,P0045,42.62,2,2
N0009,P0058,31.32,4,1
N0033,P0092,21.93,3,0
N0003,P0001,57.42,3,1
N0013,P0095,18.57,3,2
N0041,P0062,10.86,1,2
N0032,P0084,4.45,2,0
N0019,P0084,5.05,2,1
N0048,P0105,14.37,5,1
N0037,P0012,10.16,3,1
N0001,P0061,18.17,1,2
N0003,P0106,40.83,1,1
N0031,P0080,118.91,5,1
N0043,P0012,9.46,1,1
N0007,P0067,28.46,1,2
N0026,P0090,55.38,2,2
N0040,P0024,18.8,2,2
N0043,P0068,72.27,1,0
N0032,P0095,17.78,5,0
N0049,P0055,7.08,1,0
N0046,P0017,46.98,4,0
N0041,P0059,23.83,5,2
N0033,P0063,29.16,4,2
N0049,P0042,18.37,1,0
N0000,P0074,38.29,4,1
N0004,P0047,20.43,2,0
N0025,P0101,10.5,3,0
N0033,P0088,15.25,2,1
N0045,P0091,24.11,4,0
N0033,P0055,8.2,3,2
N0011,P0017,38.56,1,2
N0045,P0081,251.36,3,1
N0004,P0009,16.79,4,0
N0004,P0055,7.68,5,1
N0035,P0007,39.77,5,2
N0048,P0055,7.18,1,0
N0025,P0075,17.77,5,2
N0006,P0045,43.13,3,0
N0002,P0044,19.12,4,0
N0048,P0012,9.25,2,1
N0013,P0025,15.72,4,1
N0031,P0048,10.16,2,0
N0016,P0099,56.46,3,2
N0010,P0105,12.84,2,2
N0033,P0110,23.8,2,1
N0036,P0012,8.06,3,1
N0023,P0024,16.26,5,0
N0025,P0050,46.06,4,1
N0024,P0068,82.34,4,0
N0029,P0078,31.4,2,0
N0040,P0087,15.48,3,2
N0035,P0054,13.29,3,1
N0013,P0061,21.34,4,2
N0012,P0112,13.64,1,0
N0033,P0024,19.28,1,1
N0032,P0091,26.11,3,0
N0018,P0079,45.3,5,0
N0041,P0013,9.05,4,2
N0020,P0107,13.64,5,1
N0016,P0098,23.28,2,1
N0027,P0086,11.37,2,2
N0009,P0012,9.73,4,2
N0034,P0013,8.83,1,0
N0044,P0075,19.19,5,1
N0047,P0012,8.21,4,2
N0022,P0012,9.36,3,0
N0013,P0041,11.57,1,2
N0023,P0000,13.52,2,1
N0005,P0081,271.16,5,0
N0033,P0058,29.83,1,2
N0021,P0010,45.06,1,2
N0006,P0058,32.14,2,0
N0027,P0007,51.36,2,2
N0035,P0010,53.65,4,2
N0011,P0053,25.68,1,1
N0020,P0054,16.16,4,1
N0044,P0033,24.06,4,0
N0035,P0068,89.6,2,1
N0039,P0039,10.27,3,2
N0022,P0062,11.75,4,2
N0024,P0035,24.33,5,1
N0024,P0079,53.42,4,0
N0007,P0016,30.4,1,2
N0002,P0075,19.67,4,0
N0041,P0087,15.79,4,2
N0026,P0009,16.26,2,0
N0026,P0067,35.72,2,2
N0029,P0088,13.37,1,2
N0020,P0012,9.21,5,1
N0044,P0105,14.58,5,1
N0023,P0044,20.64,1,0
N0025,P0083,11.69,2,0
N0026,P0105,13.84,3,0
N0007,P0118,76.79,5,2
N0008,P0062,10.82,5,1
N0009,P0078,31.83,5,0
N0012,P0024,19.91,5,1
N0007,P0024,17.15,4,2
N0011,P0097,89.01,2,1
N0046,P0041,12.6,4,2
N0018,P0093,10.69,3,0
N0039,P0006,47.79,5,0
N0019,P0021,19.04,3,1
N0041,P0017,47.05,4,1
N0037,P0055,7.73,1,2
N0042,P0011,22.84,4,2
N0014,P0034,18.65,3,0
N0004,P0118,80.68,3,2
N0015,P0089,20.67,4,0
N0035,P0085,34.03,3,1
N0032,P0013,9.11,1,2
N0035,P0035,24.38,2,2
N0049,P0074,36.44,5,0
N0011,P0003,20.21,5,1
N0022,P0047,19.08,4,2
N0024,P0107,12.25,4,0
N0007,P0011,21.46,2,2
N0033,P0106,43.71,4,1
N0002,P0017,42.51,3,0
N0044,P0017,47.47,1,0
N0004,P0017,44.93,5,2
N0005,P0108,59.33,5,1
N0008,P0065,78.98,1,2
N0044,P0083,11.6,3,1
N0046,P0101,10.76,4,2
N0046,P0064,28.4,1,0
N0023,P0084,4.91,5,2
N0000,P0085,34.4,5,0
N0021,P0075,20.41,4,2
N0011,P0012,7.88,4,0
N0012,P0100,16.98,4,1
N0034,P0024,19.68,3,0
N0008,P0119,26.82,4,2
N0016,P0038,9.15,2,2
N0019,P0012,8.92,1,2
N0003,P0028,15.85,2,1
N0035,P0061,21.05,2,2
N0038,P0039,10.68,2,0
N0027,P0094,6.98,3,1
N0001,P0075,17.48,1,2
N0039,P0020,44.33,3,1
N0022,P0057,15.13,3,0
N0013,P0087,20.03,1,1
N0047,P0104,145.13,3,1
N0042,P0040,31.16,4,2
N0022,P0106,54.87,3,2
N0022,P0005,39.21,1,1
N0045,P0073,8.22,4,2
N0009,P0087,19.76,3,0
N0020,P0045,49.82,3,0
N0028,P0001,56.37,1,1
N0017,P0075,23.49,1,2
N0015,P0034,16.59,1,2
N0005,P0014,10.82,5,1
N0013,P0015,31.36,2,0
N0017,P0085,28.99,3,2
N0016,P0053,27.94,4,0
N0008,P0114,17.46,1,1
N0042,P0084,3.86,5,2
N0017,P0059,23.88,2,0
N0045,P0055,8.28,4,1
N0005,P0017,37.56,5,0
N0001,P0048,12.21,3,2
N0046,P0013,10.69,1,0
N0004,P0011,21.48,3,2
N0000,P0012,9.86,2,2
N0032,P0066,54.38,5,2
N0015,P0017,36.67,4,1
N0024,P0014,12.39,5,2
N0020,P0100,15.15,5,0
N0014,P0012,8.6,1,0
N0024,P0078,32.69,1,0
N0012,P0044,19.62,4,0
N0011,P0062,11.92,4,1
N0005,P0000,13.29,4,2
N0026,P0093,11.03,5,0
N0027,P0052,30.74,2,1
N0000,P0010,41.73,1,2
N0022,P0034,17.65,1,0
N0036,P0054,16.24,3,2
N0000,P0013,8.75,1,1
N0015,P0059,24.44,3,1
N0021,P0065,74.23,2,0
N0000,P0091,26.91,3,2
N0026,P0043,63.16,4,2
N0020,P0103,11.69,1,1
N0010,P0052,32.87,3,1
N0003,P0049,18.79,5,1
N0044,P0070,16.6,2,1
N0040,P0068,72.62,4,2
N0034,P0001,53.43,2,1
N0000,P0117,28.72,2,0
N0023,P0061,17.83,5,2
N0043,P0085,34.23,4,0
N0021,P0106,54.5,5,0
N0011,P0002,6.53,5,1
N0046,P0074,35.02,3,1
N0027,P0012,7.64,5,0
N0028,P0072,15.68,1,0
N0029,P0062,11.59,3,0
N0011,P0068,72.62,2,1
N0020,P0017,38.59,1,0
N0047,P0054,13.0,5,1
N0007,P0068,67.77,5,0
N0047,P0024,17.83,4,2
N0013,P0017,43.15,4,2
N0014,P0022,36.19,4,1
N0000,P0099,53.17,2,2
N0033,P0050,47.47,4,1
N0015,P0070,15.83,5,0
N0022,P0055,7.22,2,0
N0029,P0095,15.32,2,0
N0031,P0055,8.53,1,2
N0027,P0017,42.32,3,1
N0008,P0001,49.64,3,0
N0035,P0094,5.73,2,0
N0002,P0071,10.07,1,1
N0042,P0085,33.6,5,0
N0014,P0079,49.31,5,0
N0036,P0093,9.25,2,0
N0020,P0070,13.74,3,0
N0031,P0012,8.97,1,1
N0000,P0063,27.47,4,0
N0001,P0085,33.87,1,0
N0049,P0061,21.59,2,2
N0026,P0025,20.31,2,1
N0042,P0080,134.38,2,2
N0003,P0048,12.92,5,2
N0024,P0024,20.99,1,2
N0028,P0095,15.69,5,2
N0046,P0061,18.5,1,2
N0035,P0024,16.51,5,2
N0031,P0031,36.42,2,2
N0014,P0061,21.36,5,0
N0049,P0045,38.79,3,1
N0016,P0016,30.14,3,2
N0013,P0067,35.41,1,2
N0036,P0075,21.33,3,0
N0049,P0000,12.03,3,0
N0042,P0057,14.39,5,0
N0009,P0062,10.84,2,2
