productId,name,category,price,popularityScore
P0000,Electronics Item 0,electronics,12.27,0.0817
P0001,Toys Item 1,toys,53.23,0.1326
P0002,Books Item 2,books,6.38,0.0768
P0003,Beauty Item 3,beauty,18.77,0.0945
P0004,Beauty Item 4,beauty,27.94,0.1416
P0005,Grocery Item 5,grocery,39.21,0.2053
P0006,Electronics Item 6,electronics,43.34,0.058
P0007,Books Item 7,books,46.28,0.062
P0008,Home Item 8,home,18.56,0.0825
P0009,Electronics Item 9,electronics,16.95,0.1093
P0010,Beauty Item 10,beauty,48.73,0.1486
P0011,Grocery Item 11,grocery,21.05,0.1033
P0012,Toys Item 12,toys,8.84,0.6598
P0013,Toys Item 13,toys,9.91,0.2676
P0014,Toys Item 14,toys,11.76,0.0913
P0015,Toys Item 15,toys,36.52,0.0893
P0016,Beauty Item 16,beauty,27.49,0.0903
P0017,Electronics Item 17,electronics,42.62,0.5173
P0018,Toys Item 18,toys,17.43,0.0744
P0019,Beauty Item 19,beauty,27.85,0.0968
P0020,Beauty Item 20,beauty,40.47,0.0602
P0021,Outdoors Item 21,outdoors,19.15,0.0841
P0022,Home Item 22,home,35.35,0.0866
P0023,Grocery Item 23,grocery,14.45,0.1077
P0024,Toys Item 24,toys,18.35,1.0
P0025,Books Item 25,books,18.08,0.0627
P0026,Outdoors Item 26,outdoors,9.42,0.0663
P0027,Toys Item 27,toys,36.22,0.0727
P0028,Beauty Item 28,beauty,16.85,0.0616
P0029,Beauty Item 29,beauty,24.78,0.0655
P0030,Beauty Item 30,beauty,36.04,0.0647
P0031,Home Item 31,home,35.07,0.0686
P0032,Electronics Item 32,electronics,41.78,0.0651
P0033,Beauty Item 33,beauty,22.67,0.0875
P0034,Grocery Item 34,grocery,17.49,0.0993
P0035,Electronics Item 35,electronics,23.02,0.2872
P0036,Grocery Item 36,grocery,6.36,0.0732
P0037,Toys Item 37,toys,7.71,0.1005
P0038,Home Item 38,home,8.52,0.1128
P0039,Books Item 39,books,11.05,0.0857
P0040,Home Item 40,home,33.78,0.0716
P0041,Toys Item 41,toys,11.89,0.0681
P0042,Books Item 42,books,18.13,0.0721
P0043,Outdoors Item 43,outdoors,69.37,0.125
P0044,Electronics Item 44,electronics,18.45,0.0659
P0045,Grocery Item 45,grocery,44.26,0.1062
P0046,Beauty Item 46,beauty,11.62,0.0934
P0047,Grocery Item 47,grocery,20.81,0.1765
P0048,Books Item 48,books,11.47,0.145
P0049,Toys Item 49,toys,18.7,0.0643
P0050,Toys Item 50,toys,48.05,0.1384
P0051,Home Item 51,home,6.16,0.1165
P0052,Outdoors Item 52,outdoors,34.73,0.0586
P0053,Beauty Item 53,beauty,29.67,0.2252
P0054,Beauty Item 54,beauty,15.25,0.1969
P0055,Electronics Item 55,electronics,7.71,0.3807
P0056,Beauty Item 56,beauty,25.99,0.0606
P0057,Home Item 57,home,16.06,0.0574
P0058,Toys Item 58,toys,29.55,0.0884
P0059,Books Item 59,books,24.97,0.0701
P0060,Grocery Item 60,grocery,88.36,0.0589
P0061,Toys Item 61,toys,20.26,0.3413
P0062,Outdoors Item 62,outdoors,10.82,0.1657
P0063,Grocery Item 63,grocery,28.32,0.1185
P0064,Outdoors Item 64,outdoors,29.25,0.0775
P0065,Outdoors Item 65,outdoors,72.77,0.0782
P0066,Grocery Item 66,grocery,47.85,0.0566
P0067,Outdoors Item 67,outdoors,32.64,0.0849
P0068,Electronics Item 68,electronics,79.09,0.4353
P0069,Beauty Item 69,beauty,9.48,0.0923
P0070,Toys Item 70,toys,14.71,0.1827
P0071,Home Item 71,home,11.69,0.081
P0072,Beauty Item 72,beauty,17.96,0.0677
P0073,Electronics Item 73,electronics,8.16,0.0668
P0074,Books Item 74,books,40.78,0.0738
P0075,Beauty Item 75,beauty,20.54,0.1205
P0076,Outdoors Item 76,outdoors,7.56,0.098
P0077,Home Item 77,home,10.89,0.0639
P0078,Beauty Item 78,beauty,31.53,0.0762
P0079,Books Item 79,books,47.97,0.1709
P0080,Grocery Item 80,grocery,121.19,0.0631
P0081,Beauty Item 81,beauty,252.42,0.1354
P0082,Home Item 82,home,34.18,0.0833
P0083,Toys Item 83,toys,11.12,0.2372
P0084,Books Item 84,books,4.46,0.1146
P0085,Books Item 85,books,30.39,0.2512
P0086,Electronics Item 86,electronics,12.8,0.075
P0087,Outdoors Item 87,outdoors,17.6,0.1019
P0088,Toys Item 88,toys,15.03,0.0711
P0089,Toys Item 89,toys,21.92,0.0596
P0090,Beauty Item 90,beauty,57.56,0.0568
P0091,Toys Item 91,toys,27.82,0.1895
P0092,Toys Item 92,toys,21.61,0.0613
P0093,Outdoors Item 93,outdoors,10.71,0.1227
P0094,Grocery Item 94,grocery,6.43,0.111
P0095,Outdoors Item 95,outdoors,16.63,0.1524
P0096,Home Item 96,home,23.5,0.0609
P0097,Books Item 97,books,100.92,0.0706
P0098,Books Item 98,books,27.23,0.0672
P0099,Electronics Item 99,electronics,53.85,0.1565
P0100,Toys Item 100,toys,16.45,0.0635
P0101,Home Item 101,home,9.51,0.1609
P0102,Toys Item 102,toys,11.34,0.0577
P0103,Electronics Item 103,electronics,13.73,0.0788
P0104,Toys Item 104,toys,134.66,0.1047
P0105,Toys Item 105,toys,12.72,0.1299
P0106,Toys Item 106,toys,47.98,0.3111
P0107,Books Item 107,books,11.91,0.0571
P0108,Beauty Item 108,beauty,51.69,0.2146
P0109,Books Item 109,books,33.38,0.0795
P0110,Home Item 110,home,21.64,0.0593
P0111,Toys Item 111,toys,23.75,0.0599
P0112,Beauty Item 112,beauty,14.53,0.0696
P0113,Beauty Item 113,beauty,35.05,0.0691
P0114,Beauty Item 114,beauty,17.05,0.0583
P0115,Beauty Item 115,beauty,9.2,0.0624
P0116,Electronics Item 116,electronics,8.83,0.0756
P0117,Electronics Item 117,electronics,28.16,0.0956
P0118,Home Item 118,home,86.77,0.0802
P0119,Electronics Item 119,electronics,27.88,0.1274
