customerId,productId,amount,rating,daysAgo
C0140,P0049,15.98,1,28
C0387,P0001,53.22,3,350
C0309,P0086,13.28,3,184
C0460,P0119,29.21,5,179
C0489,P0055,7.32,4,278
C0022,P0039,10.95,4,70
C0217,P0040,35.16,3,12
C0267,P0012,8.65,5,99
C0072,P0024,20.89,5,76
C0168,P0054,16.19,5,291
C0493,P0046,9.88,2,298
C0009,P0058,25.32,2,231
C0221,P0097,106.68,1,332
C0413,P0022,34.42,5,170
C0161,P0004,30.79,4,88
C0233,P0005,35.36,5,121
C0488,P0013,8.46,4,52
C0231,P0061,19.58,3,328
C0065,P0091,29.79,1,220
C0027,P0103,15.67,1,282
C0471,P0068,88.19,4,103
C0130,P0042,18.04,2,262
C0247,P0015,39.95,2,121
C0046,P0042,15.79,5,163
C0207,P0032,42.69,3,238
C0461,P0100,18.54,5,358
C0245,P0053,28.75,3,204
C0485,P0022,40.23,5,259
C0127,P0024,16.81,1,217
C0247,P0013,8.74,2,155
C0422,P0106,48.34,1,340
C0220,P0006,48.64,1,350
C0137,P0001,50.22,5,113
C0420,P0017,46.46,3,327
C0191,P0091,25.06,2,165
C0259,P0055,8.28,2,270
C0487,P0068,80.44,2,189
C0094,P0035,20.78,1,280
C0148,P0009,18.06,5,318
C0017,P0099,57.3,1,155
C0192,P0017,42.82,2,256
C0100,P0004,25.64,1,185
C0332,P0061,18.03,5,291
C0090,P0011,23.94,2,70
C0329,P0012,9.25,2,266
C0129,P0091,30.4,4,217
C0177,P0053,31.42,3,165
C0175,P0024,20.16,2,135
C0353,P0035,20.69,3,256
C0226,P0081,252.19,3,127
C0180,P0009,17.8,2,12
C0419,P0012,7.79,3,346
C0280,P0068,70.78,2,164
C0107,P0066,49.77,5,60
C0444,P0115,10.22,3,83
C0172,P0037,8.08,4,303
C0021,P0009,14.59,2,121
C0241,P0057,18.33,4,103
C0062,P0068,70.54,3,178
C0118,P0013,9.11,4,11
C0366,P0060,100.95,3,204
C0065,P0017,46.09,4,15
C0398,P0096,26.58,1,305
C0465,P0095,18.16,4,157
C0296,P0046,12.15,4,80
C0350,P0113,32.78,3,166
C0352,P0116,8.37,1,64
C0495,P0012,10.03,3,117
C0171,P0036,7.05,4,48
C0080,P0064,28.02,3,244
C0254,P0011,20.25,1,356
C0260,P0038,8.0,2,177
C0088,P0024,17.39,5,36
C0299,P0110,23.98,2,27
C0008,P0043,59.18,3,303
C0459,P0085,29.81,2,127
C0129,P0039,12.52,4,108
C0021,P0013,10.04,3,38
C0055,P0099,53.05,2,242
C0119,P0000,11.58,3,23
C0134,P0007,40.36,3,330
C0018,P0035,21.12,3,76
C0137,P0075,18.02,2,26
C0097,P0034,15.53,1,256
C0186,P0009,15.24,4,129
C0189,P0028,15.85,2,254
C0169,P0024,15.66,4,15
C0163,P0000,13.93,2,314
C0046,P0056,23.06,5,113
C0014,P0012,8.53,4,276
C0102,P0024,20.44,3,341
C0371,P0068,69.76,2,195
C0495,P0081,251.18,4,122
C0459,P0024,20.25,1,114
C0247,P0031,35.67,1,250
C0260,P0024,16.76,1,3
C0155,P0111,25.43,2,54
C0379,P0017,44.94,3,236
C0374,P0017,40.86,2,10
C0415,P0048,9.91,1,106
C0441,P0017,36.33,2,236
C0212,P0015,40.09,3,92
C0375,P0012,8.37,2,339
C0397,P0068,70.5,3,355
C0151,P0067,32.82,2,13
C0460,P0069,10.68,5,64
C0047,P0085,25.91,5,331
C0496,P0030,31.24,4,12
C0377,P0106,46.79,3,178
C0047,P0082,35.98,1,346
C0320,P0091,27.62,4,215
C0019,P0080,135.64,2,112
C0377,P0035,19.87,2,3
C0394,P0024,17.47,4,144
C0294,P0045,42.29,1,198
C0421,P0012,8.42,2,30
C0050,P0048,11.43,4,193
C0135,P0005,42.63,5,148
C0202,P0000,11.6,3,119
C0022,P0108,55.48,3,354
C0220,P0075,18.36,5,326
C0130,P0061,20.63,1,253
C0192,P0033,21.82,3,216
C0207,P0061,20.5,2,173
C0433,P0104,118.81,3,26
C0133,P0070,16.71,5,112
C0440,P0065,81.64,3,4
C0207,P0050,52.76,5,134
C0163,P0034,19.55,3,173
C0245,P0077,9.74,5,223
C0204,P0117,28.19,1,130
C0127,P0045,41.84,2,93
C0245,P0040,37.71,2,259
C0074,P0046,10.54,4,56
C0176,P0045,40.54,3,46
C0277,P0118,91.63,2,254
C0202,P0079,42.05,1,214
C0404,P0035,24.62,2,317
C0126,P0036,5.92,1,269
C0484,P0046,12.18,4,329
C0386,P0005,43.6,5,242
C0483,P0055,7.96,5,307
C0410,P0091,25.42,2,62
C0070,P0070,12.72,3,194
C0257,P0017,36.8,3,344
C0084,P0081,221.28,3,288
C0402,P0080,124.09,3,147
C0285,P0024,17.51,2,338
C0129,P0068,72.99,1,114
C0460,P0067,29.89,3,9
C0059,P0095,18.87,1,290
C0276,P0013,8.78,1,151
C0355,P0017,40.12,3,13
C0031,P0053,29.42,5,75
C0292,P0005,33.33,3,27
C0401,P0044,20.78,1,363
C0035,P0088,13.22,5,309
C0252,P0014,12.4,4,339
C0127,P0050,49.91,2,67
C0325,P0118,94.82,2,292
C0060,P0054,15.94,5,206
C0465,P0054,16.48,3,108
C0441,P0061,19.78,1,244
C0093,P0017,42.48,2,347
C0161,P0013,10.51,2,168
C0288,P0074,41.62,3,11
C0354,P0040,33.9,2,307
C0215,P0024,16.73,3,69
C0077,P0004,25.91,2,67
C0053,P0096,22.5,4,225
C0499,P0004,23.83,3,291
C0222,P0083,10.84,5,289
C0428,P0038,7.25,5,316
C0234,P0064,29.82,2,322
C0456,P0024,19.47,1,47
C0044,P0015,37.2,3,110
C0058,P0056,27.5,2,263
C0460,P0076,6.43,5,143
C0473,P0017,36.99,3,261
C0155,P0047,22.05,2,166
C0177,P0048,12.51,2,165
C0221,P0021,20.4,5,10
C0203,P0061,21.25,1,222
C0096,P0013,10.53,5,315
C0444,P0055,8.26,2,298
C0125,P0012,9.44,5,124
C0348,P0053,31.79,3,247
C0035,P0027,31.59,3,73
C0020,P0048,9.97,2,231
C0319,P0047,19.94,4,149
C0169,P0106,48.38,4,338
C0320,P0053,32.01,3,259
C0047,P0093,10.18,3,27
C0474,P0022,32.97,3,318
C0367,P0035,24.96,3,264
C0430,P0010,45.07,5,79
C0067,P0045,48.52,1,103
C0160,P0072,16.22,2,63
C0182,P0095,15.93,5,113
C0262,P0061,19.66,4,344
C0146,P0068,74.33,2,329
C0032,P0017,36.27,3,201
C0182,P0005,36.1,1,132
C0125,P0088,14.3,1,134
C0189,P0017,40.24,5,349
C0098,P0012,9.6,4,73
C0128,P0108,44.67,1,276
C0306,P0113,33.88,4,363
C0190,P0068,68.12,3,312
C0173,P0037,8.71,3,262
C0260,P0095,18.08,5,328
C0377,P0018,19.95,5,80
C0186,P0046,13.05,1,359
C0288,P0035,21.75,2,34
C0482,P0106,50.74,2,6
C0255,P0106,45.2,5,73
C0450,P0070,16.42,4,222
C0391,P0012,8.6,4,91
C0210,P0024,20.63,5,41
C0344,P0103,15.12,3,254
C0492,P0013,11.3,2,84
C0224,P0007,40.26,3,191
C0047,P0078,29.1,3,43
C0275,P0049,17.58,2,354
C0063,P0095,16.25,5,138
C0368,P0010,48.34,5,221
C0248,P0091,26.08,1,177
C0356,P0005,42.63,5,217
C0427,P0004,25.62,3,166
C0308,P0050,50.88,4,27
C0299,P0022,39.08,4,302
C0369,P0063,29.2,3,234
C0413,P0004,26.72,4,93
C0427,P0005,35.54,4,31
C0020,P0081,224.73,5,323
C0272,P0019,29.89,3,122
C0108,P0070,14.57,4,331
C0422,P0083,9.61,5,279
C0316,P0008,21.25,5,350
C0205,P0085,31.95,1,241
C0095,P0024,20.24,3,66
C0169,P0039,10.85,3,13
C0348,P0012,10.05,4,90
C0104,P0095,15.13,4,160
C0047,P0061,18.35,5,228
C0438,P0054,17.04,3,327
C0374,P0114,19.05,4,52
C0100,P0032,41.77,5,232
C0143,P0104,119.54,1,32
C0486,P0080,114.11,4,176
C0349,P0107,12.82,2,27
C0298,P0106,52.96,5,137
C0151,P0118,82.8,3,221
C0148,P0013,8.61,4,269
C0021,P0089,23.01,4,293
C0357,P0091,29.82,2,191
C0022,P0069,9.26,3,95
C0003,P0024,18.81,4,333
C0358,P0113,40.17,4,340
C0474,P0018,16.1,2,353
C0371,P0054,15.58,5,289
C0229,P0055,7.97,1,284
C0237,P0016,27.89,2,29
C0212,P0081,280.37,5,209
C0161,P0012,9.12,4,149
C0255,P0076,7.58,3,95
C0210,P0097,89.51,3,25
C0293,P0035,24.42,5,78
C0444,P0079,42.68,2,334
C0496,P0015,31.33,2,331
C0040,P0096,23.42,3,271
C0189,P0110,22.11,5,37
C0090,P0014,13.52,3,250
C0176,P0076,8.04,4,47
C0141,P0054,16.84,5,249
C0087,P0055,7.35,5,13
C0374,P0079,48.1,3,104
C0242,P0053,33.89,3,45
C0454,P0064,28.53,1,340
C0018,P0023,15.78,1,208
C0035,P0037,7.77,3,336
C0198,P0099,49.39,4,8
C0041,P0012,9.05,5,270
C0129,P0064,26.78,3,175
C0492,P0017,36.27,3,171
C0105,P0097,92.92,5,318
C0099,P0062,9.82,2,18
C0281,P0042,17.43,1,344
C0243,P0024,20.49,5,11
C0284,P0047,20.11,3,133
C0185,P0112,16.03,1,51
C0406,P0055,7.84,2,191
C0068,P0051,5.25,2,217
C0209,P0083,10.08,2,234
C0338,P0038,9.62,3,291
C0426,P0046,11.98,5,274
C0183,P0033,25.59,4,346
C0278,P0014,11.09,5,164
C0036,P0079,51.09,5,64
C0084,P0101,10.29,2,57
C0036,P0105,14.54,1,101
C0357,P0101,8.14,1,220
C0141,P0048,13.03,4,20
C0356,P0024,17.75,2,348
C0035,P0068,87.11,4,361
C0423,P0111,24.07,3,60
C0409,P0081,257.32,5,285
C0045,P0054,14.61,3,218
C0013,P0075,22.56,5,175
C0030,P0085,28.24,2,268
C0419,P0106,47.87,4,210
C0117,P0085,30.94,3,118
C0268,P0047,22.32,1,205
C0208,P0024,18.19,2,50
C0393,P0054,16.07,2,93
C0239,P0031,34.92,1,355
C0243,P0108,54.16,5,68
C0494,P0055,8.11,2,218
C0073,P0051,6.55,3,109
C0407,P0035,25.25,3,170
C0027,P0068,80.06,3,90
C0233,P0055,7.0,4,208
C0437,P0012,9.32,5,203
C0325,P0100,14.36,5,225
