referrerId,refereeId
C0047,C0030
C0458,C0183
C0277,C0016
C0133,C0372
C0444,C0454
C0061,C0095
C0050,C0336
C0261,C0299
C0305,C0208
C0250,C0366
C0460,C0339
C0129,C0134
C0494,C0399
C0011,C0327
C0060,C0156
C0093,C0367
C0041,C0320
C0213,C0058
C0425,C0083
C0403,C0161
C0365,C0022
C0003,C0203
C0426,C0230
C0194,C0387
C0359,C0085
C0357,C0283
C0088,C0332
C0253,C0224
C0458,C0453
C0129,C0159
C0352,C0203
C0478,C0002
C0179,C0205
C0190,C0010
C0221,C0491
C0398,C0120
C0213,C0406
C0237,C0058
C0111,C0137
C0493,C0059
C0440,C0184
C0293,C0301
C0479,C0209
C0336,C0302
C0479,C0403
C0080,C0022
C0112,C0212
C0436,C0296
C0205,C0261
C0183,C0072
C0369,C0103
C0308,C0188
C0173,C0325
C0195,C0494
C0200,C0184
C0062,C0261
C0114,C0153
C0262,C0017
C0384,C0199
C0205,C0173
C0189,C0075
C0317,C0335
C0077,C0129
C0187,C0112
C0105,C0194
C0318,C0482
C0057,C0318
C0219,C0212
C0292,C0410
C0409,C0010
C0356,C0168
C0470,C0270
C0332,C0244
C0175,C0338
C0115,C0350
C0030,C0227
C0136,C0464
C0067,C0464
C0183,C0237
C0347,C0450
C0339,C0320
C0158,C0069
C0249,C0059
C0108,C0039
C0246,C0105
C0250,C0156
C0148,C0034
C0127,C0304
C0489,C0205
C0262,C0300
C0275,C0251
C0004,C0135
C0090,C0307
C0178,C0475
C0482,C0158
C0087,C0153
C0149,C0258
C0494,C0402
C0234,C0265
C0158,C0415
C0310,C0037
C0242,C0049
C0478,C0203
C0043,C0116
C0389,C0011
C0137,C0107
C0397,C0135
C0417,C0459
C0417,C0391
C0426,C0175
C0354,C0479
C0070,C0418
C0027,C0125
C0170,C0239
C0241,C0460
C0149,C0228
C0364,C0185
C0355,C0451
C0486,C0330
C0197,C0220
C0387,C0434
C0363,C0372
C0493,C0173
C0379,C0212
C0139,C0023
C0008,C0050
C0484,C0477
C0353,C0026
C0400,C0418
C0391,C0104
C0360,C0270
C0368,C0361
C0460,C0495
C0451,C0186
C0187,C0462
C0016,C0227
C0020,C0433
C0218,C0050
C0409,C0134
C0417,C0311
C0198,C0353
C0148,C0401
C0248,C0178
C0408,C0312
C0311,C0310
C0068,C0492
C0180,C0058
C0272,C0008
C0262,C0287
C0407,C0007
C0462,C0097
C0051,C0250
C0112,C0133
C0192,C0133
C0146,C0173
C0200,C0343
C0021,C0182
C0035,C0396
C0411,C0079
C0052,C0051
C0405,C0083
C0150,C0458
C0151,C0138
C0051,C0014
C0007,C0157
C0177,C0344
C0409,C0180
C0454,C0192
C0033,C0043
C0016,C0333
C0078,C0110
C0375,C0048
C0104,C0357
C0114,C0468
C0438,C0305
C0429,C0468
C0327,C0201
C0081,C0259
C0187,C0178
C0118,C0254
C0328,C0446
C0382,C0317
C0070,C0013
C0444,C0290
C0225,C0188
C0392,C0271
C0027,C0278
C0179,C0294
C0008,C0433
C0354,C0429
C0041,C0485
C0169,C0305
C0384,C0142
C0368,C0097
C0313,C0424
C0341,C0456
C0318,C0018
C0313,C0107
C0175,C0339
C0016,C0082
C0214,C0025
C0024,C0498
C0228,C0048
C0226,C0106
C0088,C0494
C0386,C0050
C0348,C0399
C0274,C0281
C0458,C0269
C0141,C0413
C0129,C0010
C0091,C0030
C0266,C0097
C0104,C0245
C0427,C0481
C0149,C0034
C0239,C0210
C0259,C0214
C0151,C0098
C0362,C0171
C0339,C0100
C0372,C0068
C0296,C0260
C0224,C0465
C0220,C0202
C0353,C0317
C0186,C0335
C0213,C0421
C0081,C0412
C0332,C0452
C0040,C0407
C0495,C0465
C0070,C0483
C0188,C0374
C0118,C0246
C0142,C0153
C0161,C0285
C0354,C0414
C0088,C0376
C0129,C0260
C0052,C0038
C0165,C0135
C0469,C0288
C0187,C0192
C0381,C0228
C0225,C0150
C0220,C0038
C0404,C0233
C0015,C0222
C0425,C0390
C0237,C0056
C0176,C0242
C0448,C0426
C0170,C0133
C0488,C0158
C0465,C0043
C0131,C0287
C0170,C0427
C0400,C0240
C0098,C0208
C0359,C0374
C0064,C0220
C0104,C0199
C0243,C0381
C0366,C0142
C0363,C0424
C0297,C0134
C0133,C0255
C0203,C0125
C0122,C0316
C0136,C0217
C0161,C0119
C0293,C0371
C0105,C0467
C0022,C0014
C0340,C0283
C0012,C0359
C0485,C0359
C0176,C0110
C0003,C0057
C0436,C0256
C0293,C0318
C0401,C0144
C0212,C0184
C0177,C0266
C0320,C0225
C0199,C0241
C0272,C0341
C0136,C0492
C0165,C0398
C0042,C0004
C0383,C0174
C0175,C0004
C0487,C0436
C0128,C0322
C0231,C0109
C0150,C0419
C0341,C0281
C0398,C0025
C0238,C0075
