"order_id","user_id","eval_set","order_number","order_dow","order_hour_of_day","days_since_prior_order"
8382,23,"prior",2,0,10,9
7099,27,"prior",63,3,10,1
4595,66,"prior",3,3,21,30
1483,90,"prior",31,3,13,5
2199,150,"prior",27,4,14,6
5640,155,"prior",15,2,0,28
4307,173,"prior",11,3,16,2
2593,206,"prior",7,6,13,25
3449,208,"prior",2,1,11,30
6524,214,"prior",10,1,20,14
4163,222,"prior",68,2,10,1
40,382,"prior",29,1,15,23
4890,451,"prior",16,2,8,4
214,503,"prior",5,0,16,9
3452,508,"prior",6,4,16,9
9841,521,"prior",5,1,14,30
3927,583,"prior",31,0,13,19
5293,585,"prior",1,0,12,NA
4515,652,"prior",66,6,13,1
9667,655,"prior",55,1,19,2
1770,678,"prior",18,3,13,12
9068,688,"prior",14,3,9,9
8171,756,"prior",15,0,11,7
4572,787,"prior",2,4,9,10
1520,787,"prior",29,5,13,12
3558,818,"prior",55,2,20,1
5010,824,"prior",11,3,8,30
7504,854,"prior",4,2,15,4
6892,892,"prior",10,6,22,7
3245,917,"prior",11,1,9,4
8913,933,"prior",11,0,14,7
9209,963,"prior",47,5,10,4
178,971,"prior",2,3,11,19
9458,999,"prior",27,1,9,13
280,1059,"prior",27,1,10,6
4864,1072,"prior",7,5,11,4
7581,1082,"prior",4,1,19,30
8239,1164,"prior",65,0,22,2
637,1177,"prior",23,5,17,10
8179,1202,"prior",60,5,11,4
9292,1241,"prior",9,3,14,30
4558,1242,"prior",14,6,14,0
1103,1263,"prior",9,1,13,4
889,1264,"prior",25,1,7,4
3655,1344,"prior",22,3,13,0
2863,1378,"prior",34,2,14,6
3283,1381,"prior",12,6,12,8
1563,1417,"prior",1,6,10,NA
4814,1423,"prior",7,6,11,6
1944,1427,"prior",59,6,21,3
835,1440,"prior",3,2,14,6
7990,1487,"prior",31,1,10,4
2383,1498,"prior",28,5,8,10
6537,1503,"prior",10,3,21,30
2327,1519,"prior",41,3,8,8
8524,1548,"prior",4,5,16,6
3666,1602,"prior",8,0,11,30
9282,1623,"prior",4,0,8,30
4548,1623,"prior",11,6,9,20
7754,1629,"prior",20,3,18,10
9872,1642,"prior",16,3,8,5
9810,1676,"prior",8,2,16,2
9754,1696,"prior",2,1,16,30
6125,1710,"prior",1,5,9,NA
6011,1746,"prior",4,4,8,30
7974,1750,"prior",3,1,14,27
5228,1753,"prior",8,6,11,8
5146,1767,"prior",16,5,5,25
5853,1815,"prior",24,0,14,7
377,1868,"prior",65,1,13,2
708,1873,"prior",4,0,17,30
5983,1920,"prior",1,0,9,NA
4758,1920,"prior",9,0,22,30
8884,1948,"prior",38,0,22,28
7849,2013,"prior",8,5,22,0
8202,2022,"prior",13,0,9,5
7585,2059,"prior",4,2,12,6
7761,2075,"prior",29,2,12,1
2142,2086,"prior",5,6,16,12
9299,2173,"prior",5,2,6,30
5845,2184,"prior",21,5,12,7
504,2201,"prior",10,3,17,22
6126,2229,"prior",11,0,17,8
1458,2237,"prior",10,4,16,18
5150,2258,"prior",1,1,11,NA
1052,2262,"prior",15,0,19,3
7462,2282,"prior",5,4,18,6
5413,2286,"prior",11,6,10,8
1509,2335,"prior",31,6,19,7
9862,2342,"prior",6,0,12,7
3834,2371,"prior",26,6,17,8
3807,2383,"prior",30,1,15,0
5916,2408,"prior",1,3,21,NA
4721,2423,"prior",7,1,16,11
4766,2496,"prior",40,3,11,4
9573,2535,"prior",60,4,6,5
3031,2555,"prior",21,6,9,6
1662,2565,"prior",7,5,14,13
1132,2590,"prior",14,3,12,5
1425,2593,"prior",4,1,14,7
877,2609,"prior",22,5,15,3
9233,2614,"prior",5,1,20,6
3989,2646,"prior",46,1,11,2
8066,2650,"prior",19,0,10,3
5608,2655,"prior",22,5,16,8
6387,2658,"prior",25,4,20,0
7813,2676,"prior",10,5,9,11
3218,2688,"prior",34,1,13,6
9801,2698,"prior",9,1,23,4
814,2777,"prior",17,0,19,21
5986,2785,"prior",26,1,8,6
6519,2797,"prior",7,5,9,10
975,2822,"prior",2,1,15,27
6364,2822,"prior",9,2,20,13
2013,2839,"prior",1,1,18,NA
5694,2868,"prior",26,4,21,20
2127,2985,"prior",11,3,2,17
8298,3002,"prior",1,5,14,NA
1843,3051,"prior",2,0,12,30
5302,3060,"prior",1,2,17,NA
8,3107,"prior",5,4,6,17
9916,3219,"prior",13,2,10,0
5584,3219,"prior",25,6,8,4
3295,3243,"prior",5,2,16,30
1968,3252,"prior",17,1,9,7
7173,3269,"prior",7,2,15,5
4094,3273,"prior",26,0,11,7
74,3321,"prior",31,5,21,14
629,3351,"prior",3,3,0,30
1027,3357,"prior",4,6,18,7
8212,3358,"prior",23,1,15,8
8535,3366,"prior",3,3,10,30
2341,3394,"prior",60,4,10,4
6820,3412,"prior",48,4,18,7
6621,3417,"prior",6,5,19,6
6615,3422,"prior",25,4,11,4
7986,3435,"prior",30,3,17,4
4097,3456,"prior",23,4,15,9
9352,3485,"prior",34,6,6,7
9921,3536,"prior",58,6,9,5
8423,3550,"prior",11,1,9,5
3229,3583,"prior",4,6,10,15
4492,3597,"prior",16,0,12,5
6218,3599,"prior",6,2,7,20
9472,3616,"prior",1,6,7,NA
1834,3626,"prior",35,2,8,11
4366,3646,"prior",1,6,10,NA
4413,3651,"prior",17,3,15,5
3671,3657,"prior",2,4,14,5
8190,3671,"prior",7,0,9,30
783,3671,"prior",8,6,15,27
832,3683,"prior",20,0,10,7
9708,3708,"prior",1,2,14,NA
5417,3741,"prior",30,3,10,7
1596,3758,"prior",4,0,8,5
9917,3789,"prior",2,3,10,30
5495,3828,"prior",1,2,16,NA
6960,3830,"prior",30,0,12,4
7994,3905,"prior",21,5,17,4
3799,3962,"prior",4,3,13,8
4949,3974,"prior",26,3,18,13
85,4041,"prior",25,5,11,7
4628,4048,"prior",2,1,21,10
9019,4057,"prior",1,0,11,NA
7929,4061,"prior",3,4,6,30
8488,4067,"prior",61,2,10,1
255,4076,"prior",30,0,20,3
9930,4087,"prior",42,6,16,6
2326,4099,"prior",10,0,14,5
7586,4111,"prior",9,1,19,29
2483,4141,"prior",8,5,14,30
3754,4176,"prior",20,3,11,2
3322,4199,"prior",5,0,10,3
9998,4200,"prior",4,2,22,23
6769,4201,"prior",9,4,17,7
176,4209,"prior",7,1,17,16
7484,4216,"prior",1,0,12,NA
4206,4218,"prior",9,3,17,15
3921,4218,"prior",17,3,16,13
7422,4281,"prior",26,6,9,2
2803,4282,"prior",12,3,17,7
2510,4297,"prior",10,4,12,6
9652,4312,"prior",11,1,10,20
9159,4313,"prior",6,3,15,8
5625,4326,"prior",11,5,9,8
7998,4336,"prior",14,4,16,14
3231,4356,"prior",68,3,9,2
4725,4368,"prior",12,2,15,1
2874,4433,"prior",20,4,23,9
1525,4477,"prior",34,2,10,4
936,4484,"prior",8,1,6,30
4774,4490,"prior",70,3,9,2
5833,4520,"prior",9,6,7,2
9450,4549,"prior",1,4,14,NA
6124,4584,"prior",30,1,16,6
9414,4588,"prior",5,6,20,1
5784,4599,"prior",32,2,10,6
1915,4631,"prior",29,6,20,7
104,4645,"prior",8,5,18,3
8115,4693,"prior",72,2,16,2
1593,4730,"prior",7,6,17,0
9057,4789,"prior",21,0,22,4
4604,4789,"prior",24,0,19,6
470,4793,"prior",14,5,15,30
8736,4851,"prior",18,6,7,30
3462,4865,"prior",11,4,10,5
6418,4881,"prior",4,0,14,30
4171,4900,"prior",8,1,10,5
3761,4931,"prior",2,5,17,7
4635,4937,"prior",5,1,22,28
5747,4948,"prior",18,4,13,16
2943,4949,"prior",47,5,14,6
1775,4974,"prior",20,0,9,8
102,4988,"prior",8,3,16,30
7215,4993,"prior",14,4,17,6
5932,5030,"prior",10,2,11,6
6004,5057,"prior",6,1,13,9
2740,5070,"prior",2,3,14,6
4945,5098,"prior",2,5,13,5
