order_id,product_id,add_to_cart_order,reordered
2179843,31,2,1
1726102,77,5,1
1726102,70,1,0
493770,93,4,0
493770,88,5,0
1964052,53,3,1
1964052,65,4,1
795293,80,2,1
795293,51,2,0
691787,39,5,0
691787,87,2,0
496519,26,2,0
496519,84,3,1
496519,38,1,0
675032,53,2,0
675032,35,3,1
2366336,85,1,0
2366336,88,2,1
1524871,26,3,1
3075339,78,2,0
3075339,88,5,0
3075339,18,1,0
12735,71,1,1
2133764,27,4,0
2133764,56,5,0
441923,47,4,1
441923,31,5,1
441923,82,3,0
213585,62,5,1
213585,30,2,0
1376984,6,4,1
1529864,15,3,0
1529864,18,2,1
2409213,15,4,0
2409213,96,3,1
3216890,5,4,0
2216406,56,3,0
2216406,16,2,1
1235551,55,2,1
1235551,43,5,1
1235551,89,4,1
2840309,14,3,0
2840309,90,2,0
2769182,16,1,0
135561,3,4,0
135561,13,5,0
135561,64,4,1
94567,24,2,1
1625101,26,1,1
2441513,48,4,1
2441513,5,4,1
3207660,40,3,1
3207660,26,2,1
3207660,9,4,0
1445459,81,5,1
1445459,28,2,1
710671,8,3,0
710671,91,5,1
710671,98,2,1
2014225,90,1,1
2014225,51,5,0
2014225,60,4,0
226500,30,3,0
226500,78,1,1
1854823,4,1,0
2686022,42,3,1
2686022,89,5,1
2261111,48,3,1
503623,93,2,1
503623,69,4,1
503623,96,1,0
3177346,37,3,0
3177346,54,2,1
1958581,20,2,1
1958581,78,5,1
727697,100,2,0
727697,63,4,1
1487282,95,3,0
1487282,19,2,0
3267557,80,3,0
3267557,88,3,1
3267557,36,3,0
667235,47,4,1
667235,29,2,0
667235,45,1,0
1313166,36,3,1
1313166,27,5,0
1313166,86,3,0
3387153,45,1,0
3387153,77,4,0
3387153,23,2,0
1289720,6,2,0
1289720,16,2,0
1289720,88,1,0
851757,7,5,1
851757,100,5,1
851757,67,4,1
2572287,43,1,1
2898014,96,5,0
1732454,54,3,0
1732454,78,4,0
1732454,54,4,1
2326140,90,2,1
2326140,43,5,1
2144373,36,4,1
2144373,51,5,0
2386877,15,1,1
2011954,28,4,0
2011954,55,2,1
2717558,4,3,1
2657584,12,3,0
2657584,60,2,1
2828221,22,3,0
1502462,29,3,1
1502462,7,1,1
2491275,77,5,1
567275,34,5,1
554971,8,4,1
3111229,60,1,0
3111229,53,5,1
2737845,89,2,1
891493,92,5,1
2333097,5,4,0
1607540,38,4,0
1607540,86,1,0
1780425,48,1,1
1780425,96,5,0
1780425,3,3,1
954718,77,2,0
954718,1,4,1
954718,86,1,0
517128,2,3,1
517128,56,4,1
517128,2,4,0
491757,28,3,0
491757,72,5,1
491757,58,4,1
1606959,40,5,1
1606959,35,1,0
1606959,79,4,1
999091,33,2,1
359428,15,5,1
306490,80,4,0
306490,12,4,1
564378,93,5,0
3371610,67,2,0
1839686,7,3,1
1632697,5,2,0
1632697,79,2,1
312720,59,3,1
2948748,83,1,0
2948748,65,4,1
2948748,21,1,0
2750060,4,3,0
2283071,22,1,0
2283071,83,3,1
1490789,32,5,1
3417821,4,5,1
2319483,66,3,0
2319483,85,3,0
2319483,78,3,1
799681,37,4,0
799681,92,1,0
2517217,92,5,1
2517217,34,2,0
884978,33,1,0
884978,42,1,1
1482604,80,2,0
2211084,52,3,0
1441960,18,1,0
1441960,82,2,0
1441960,33,5,0
2807304,39,2,0
3298378,76,2,0
3298378,71,4,1
1557243,71,5,0
1148644,2,5,1
660193,21,1,0
660193,1,3,0
3338112,64,1,0
3338112,93,4,0
1719437,11,4,1
1719437,34,4,0
1719437,4,4,1
1015514,35,4,1
1015514,52,5,0
1015514,2,2,1
1490727,94,5,1
3272017,92,5,0
3272017,24,4,1
3214395,76,5,0
3214395,98,3,0
3214395,58,3,1
393236,25,4,0
393236,18,4,1
1539896,72,5,0
1539896,28,3,1
36144,27,1,0
1516233,47,4,1
1516233,64,3,0
1516233,15,4,1
1347265,24,5,0
2401670,57,3,0
2767563,46,2,1
2182248,24,3,0
428531,30,2,0
1985979,83,4,1
1985979,83,1,0
1985979,74,4,1
848203,45,4,1
848203,34,2,0
848203,21,5,0
1406902,18,4,0
2552064,82,1,1
2552064,36,3,1
2219309,97,5,1
2219309,3,4,0
3101565,7,3,1
3101565,4,3,0
1416601,32,2,1
1416601,79,2,0
1416601,15,1,0
1532728,53,1,1
15373,93,4,0
1029119,22,1,1
1029119,51,1,0
1649102,95,1,1
1649102,55,1,1
1649102,71,3,1
1742862,25,4,1
1742862,72,4,1
3165535,59,4,0
2646295,13,2,0
2667662,9,5,0
2667662,10,4,1
2667662,96,2,1
1308356,2,3,0
1308356,87,4,0
1308356,14,5,1
1377857,18,4,1
2548958,25,4,1
2548958,66,1,0
2892993,50,5,1
2892993,42,4,0
2892993,50,4,0
1522246,49,4,0
1522246,85,1,1
1673783,92,4,0
1673783,1,2,0
1586842,72,1,1
1586842,69,4,1
1586842,26,1,0
2505698,4,1,0
2505698,94,3,0
2505698,8,1,1
15648,64,3,1
15648,43,5,1
1343505,9,1,0
1343505,67,3,1
1784396,73,2,1
1784396,26,5,0
2040028,32,4,0
2040028,64,2,0
2040028,70,2,1
1475311,53,5,0
1475311,48,3,0
1461896,95,1,0
3332386,80,2,1
