product_id,product_name,aisle_id,department_id
33627,Mix Popcorn,107,19
18193,Tangerine Lime Drink Tabs,100,21
47100,Fire Roasted Diced Tomatoes With Seasonings,81,15
48184,Soy Curls,107,19
31574,Chocolate Deluxe Bars,3,19
45363,Stewed Mexican Recipe Sliced Tomatoes,81,15
14132,Chili Con Carne,38,1
26904,Fruit Squishems Apple Strawberry,99,15
39418,Sparkling Spruce Timeless Joy Holiday Candle,100,21
28086,Pineapple Orange Strawberry 100% Juice,31,7
200,Radiant Pantiliners Regular Wrapped Unscented,126,11
36124,Culture Club Cabernet Grape Kombucha,31,7
21936,Vegetarian Refried Beans,59,15
15135,Wraps Multi-Grain,128,3
44563,Pumpkin Corn Tortilla Chips,107,19
38122,24oz Heat & Eat Container,85,17
28397,Blueberry Cobbler,48,14
34375,Salt Free Garam Masala Blend,104,13
32359,Water Softening Pellets,87,17
18238,Condensed Cream Of Onion Soup,69,15
29286,Vegetarian DHA Softgels,47,11
38841,Slow Cooker Sauces Apple Bourbon Pulled Pork,5,13
24179,Real Vegetable Chips Sweets & Beets,107,19
34572,Forest Body Wash,25,11
26966,Chocolate Covered Ring Jells,33,6
148,Nectarines,24,4
44666,Original Nooks & Crannies Cinnamon Raisin English Muffins,93,3
8640,Invisible Solid Spring Breeze Antiperspirant/Deodorant 2.6 oz AP/DO & Body Spray,80,11
32056,Organic Super Tampons Wth Applicator,126,11
43237,Freeze Off Wart Removal System,118,11
41511,Plastic 16 oz. Cups,111,17
37343,Kefir Nonfat with FOS Organic Vanilla,120,16
35594,Organic Hemp Plus Granola Cereal,57,14
19923,Blueberry B Monster,31,7
2211,Triple Enzyme Formula Spray Laundry Stain Remover,75,17
31493,Soft Toothbrush Powered By Yogurt Cups,20,11
3932,Wasabi,66,6
37161,Blueberry Acai Yogurt,120,16
7095,Vanilla Bean Tea Bags,94,7
3594,Milk Whole,84,16
41233,Riced Cauliflower,100,21
16913,Licorice Soft,45,19
39365,French Vanilla Syrup,29,13
10982,Organic Nectarine & Plum Conserve,123,4
35976,Sweet Cream Whipped Butter Salted,36,16
39370,Honey Peanut Butter Hot Oatmeal Bowl,130,14
31235,Velveeta Reduced Fat 2% Milk Shells Cheese,4,9
27873,Gourmet Spicy Barbecue Sauce,5,13
32901,Organic Half & Half Guayusa Lemonade Tea,94,7
29869,New Zealand Artesian Water,115,7
5046,Vanilla Chocolate Peanut Butter Ice Cream Bars Multi-Pack,37,1
2323,Rich Chocolate Flavored Milk Mix,90,7
42970,Lite Honey Mustard Dressing Topping & Spread,89,13
2768,Lip Care Stick,109,11
48727,Garlic & Herb Pasta Sauce,9,9
20443,Pita Bites Original Sea Salt,78,19
45355,Deep Clean Cream Cleanser,73,11
31966,Angel Hair Pasta With Herbs,4,9
41380,Country Style Pork Ribs,122,12
43281,Organic Lemon Perfume Oil,101,17
15171,Reclosable Sandwich Extra Large Bags,85,17
9721,Steamfresh Protein Italian Style,116,1
28158,Farmer Cheese,108,16
21927,Organic Boneless Skinless Chicken Breast,35,12
16064,Bread Crumbs Panko Seasoned Italian Style,5,13
34864,Pet Waste Bags,40,8
48383,Whole Wheat Flour,17,13
20636,Pure Sport Body Wash,127,11
6180,Fit Popcorn Extra Virgin Olive Oil,23,19
42636,Organic Microwave Popcorn No Salt or Oil,23,19
45816,Fresh Collection Fiji Antiperpirant & Deodorant,80,11
31873,Unscented Regular Pantiliners,126,11
7991,Smoth & Creamy Low Fat Vanilla Frozen Yogurt,37,1
38531,Organic Sweet Potato Multigrain Tortilla Chips,107,19
6577,Sense & Spray Str Clean Linen Scent Air Freshener,101,17
31250,Apples Honeycrisp,100,21
10521,Carb Balance Small Fajita Whole Wheat Tortillas,128,3
44203,Crystal Pacifier,82,18
6949,Creamy Broth with Mackerel & Vegetables Cat Food,41,8
4829,Life Wheat + Protein Bread,100,21
36362,Baked Crackers Cheddar Cheese,48,14
4470,Cherry Liquid Drink Mix,90,7
11800,Italian Castelvetrano Whole Green Olives,110,13
315,Creamy Italian Dressing Marinade,89,13
20677,Homestyle Creamy Chicken & Herb Dumplings Soup,69,15
18393,Mango Baby Breakfast Stage 2,92,18
31317,Mandarin Oranges in Light Syrup Fruit Cups,99,15
19892,Classic Basil Pesto Sauce,9,9
18628,Organic Volcano Rice Ready To Eat Bowl,4,9
5583,Kentucky Whisky,124,5
34747,The Hulk Banana Coconut Spirulina Paleo Muffins,93,3
35087,Blemish Clearing Serum,73,11
18766,Canola Vegetable Oil Blend,19,13
32343,Bianco Doro Italian Dry Salame,96,20
38625,Tomato Sauce With Basil,9,9
7599,Sensor 2 Plus Disposable Razors,55,11
4730,Original Toothbrush Soft Right,20,11
29960,Acini di Pepe, 78,131
7515,Spinach And Ricotta Ravioli,2,16
42849,Ice Cream Cones,61,19
15556,Original Sliced Grand Cru Cheese,21,16
38094,Sriracha Ketchup,72,13
21957,Bittersweet Sea Salt Chocolate Bar,45,19
42796,Broccoli Pot Pie With Cheddar Cheese Sauce,42,1
42805,Sliced Jalapenos,110,13
20571,Cashew Butter + Bourbon Vanilla Chocolate Bar,45,19
1591,Redness Relief Cooling Eye Drops,44,11
22272,Gluten Free Matzo Ball & Soup Mix,33,6
1031,Cold Remedy Orange Cream Ultra RapidMelt,11,11
24466,Moroccan Red Clay and Argan Stem Cell Pore Minimizing Facial Scrub,109,11
20076,Ruffles Have Ridges Reduced Fat Potato Chips,107,19
9593,Grilled Salmon Feast in Gravy Cat Food,41,8
39051,Organic Tropical Fruit Blend,116,1
41006,Organic Onion Powder,104,13
36552,Gourmet Popping Corn Original,23,19
19792,L-Glutamine Dietary Supplement,47,11
33055,Organic Golden Delicious Apple,24,4
1705,Disney Frozen Fruit Flavored Snacks,50,19
6751,Drink Tabs Strawberry Lemonade,64,7
13657,Coleslaw Dressing Calorie Free,89,13
9268,Organic Fruit Spread Wild Blueberry,88,13
14204,Organic White Meat Chicken Pie,38,1
35006,Glycerin Hand Soap Rosemary,25,11
34830,Tini Twists Pretzels,107,19
16228,Pad Thai Noodle Bowl,66,6
8995,Oatmeal Instant Banana Maple with Flax,130,14
22782,Original Key Lime Pie Yogurt,120,16
3919,Hearty Grains 100% Whole Wheat English Muffins,93,3
11221,Rotini Pasta With Three Cheese Sauce,4,9
22412,HE Turbo Clean Ultra Stain Release Liquid Laundry Detergent,75,17
16704,Bag Pink Lady Apples,123,4
13390,Deli Deluxe 2% Milk American Cheese Slices,21,16
9027,Drink Original Unsweetened,91,16
3212,Vinegar Red Wine,19,13
6677,Organic Whole Mushrooms,123,4
8649,Variety Snaps With Real Beef/Chicken/Liver & Lamb Flavors,40,8
34457,100% Organic Unbleached White Whole Wheat Flour,17,13
42355,ProActive Health MiniChunks Adult Dog Food,40,8
16356,Turkey & Brown Rice Dog Food,40,8
33819,Original French Vanilla Yogurt,120,16
46381,Tricolor Pearl Couscous,63,9
13905,Shabbos Candles,33,6
30801,Classic Original Mint Mouthwash,20,11
21623,ZzzQuil Nighttime Liquid Sleep-Aid Twin Pack,11,11
7290,Peas Baby 2nd Foods,92,18
40396,Guacamole,67,20
48126,Braunschweiger Lunchmeat,7,12
18674,Spaghetti Tangy Italian Dinner,4,9
18811,Organic Apple Juice,98,7
3503,Gentle Glide 360° Fresh Scent Regular/Super Absorbency Multi-Pack Tampons,126,11
25357,Homestyle Harvest Tomato with Basil Soup,69,15
11025,Mighty Pacs,75,17
15036,Allergy 24 Hour 10mg Tablets,11,11
4244,MSM Sulfur Capsules,47,11
46110,Triple Zero Cherry Greek Yogurt,100,21
41763,Turkey Gravy Mix,5,13
40125,Face Scrub Original,109,11
20439,All Natural Almond Slices,117,19
41383,Family Size Hearts of Romaine,123,4
4029,Organic Corn Thins Original,107,19
47593,Tots Yogurt Mish Mash Berry Banana Beet,92,18
3781,Sheer Moisture Lip Tint - Adorn,132,11
17228,Sriracha Chicken Breast,35,12
48716,Meyer Lemon Miracle Tart,8,3
31192,Free & Clear  Natural Dish Liquid,74,17
4460,Non Gmo Snickerdoodle Protein Bar,3,19
42698,Hot Pork Sausage,52,1
28093,Pork Potsticker,129,1
30856,Whole Grain White Hamburger Buns,43,3
20377,Water Chestnuts Sliced No Salt Added,66,6
18330,Click Gel Automatic Citrus Scent Toilet Bowl Cleaner,114,17
27457,100 Grand Fun Size Bars,45,19
16471,Chocolate Decorating Decors,97,13
11709,Milk Chocolate Coconut & Almonds Bar,45,19
10531,Easy Quinoa Mushroom & Vegetable Medley,63,9
49193,SmartBlend Chicken & Rice Formula Adult Dry Dog Food,40,8
1793,Citrus Beverage Sparkling with Natural Pulp,77,7
42459,Sinus-Max Pressure & Pain Relief,11,11
9061,Italian Sausage & Rigatoni Pasta,38,1
16099,Heart Healthy Italian Style White Bean & Chicken Sausage,69,15
46744,Organic ZFruit Rope Fruit Punch Flavor,117,19
36131,Elderberry Syrup,47,11
